11:49:45:553|	Широта: 53.20853278	Долгота:50.2596404
11:49:46:042|	Широта: 53.20853279	Долгота:50.25964078
11:49:46:533|	Широта: 53.20853286	Долгота:50.25964078
11:49:47:022|	Широта: 53.20853317	Долгота:50.25964078
11:49:47:513|	Широта: 53.20853274	Долгота:50.25964043
11:49:48:003|	Широта: 53.20853287	Долгота:50.25964034
11:49:48:492|	Широта: 53.20853317	Долгота:50.25964036
11:49:48:981|	Широта: 53.20853281	Долгота:50.25964078
11:49:49:472|	Широта: 53.20853317	Долгота:50.25964078
11:49:49:963|	Широта: 53.20853317	Долгота:50.25964078
11:49:50:452|	Широта: 53.20853317	Долгота:50.25964039
11:49:50:944|	Широта: 53.2085328	Долгота:50.25964046
11:49:51:433|	Широта: 53.20853287	Долгота:50.25964078
11:49:51:922|	Широта: 53.20853317	Долгота:50.25964038
11:49:52:413|	Широта: 53.20853277	Долгота:50.25964043
11:49:52:903|	Широта: 53.20853317	Долгота:50.25964078
11:49:53:393|	Широта: 53.20853277	Долгота:50.25964035
11:49:53:883|	Широта: 53.20853317	Долгота:50.25964078
11:49:54:373|	Широта: 53.20853317	Долгота:50.25964037
11:49:54:863|	Широта: 53.20853286	Долгота:50.25964044
11:49:55:354|	Широта: 53.20853277	Долгота:50.25964078
11:49:55:842|	Широта: 53.20853285	Долгота:50.25964078
11:49:56:334|	Широта: 53.20853317	Долгота:50.25964046
11:49:56:823|	Широта: 53.20853278	Долгота:50.25964078
11:49:57:315|	Широта: 53.20853317	Долгота:50.25964078
11:49:57:804|	Широта: 53.20853275	Долгота:50.25964078
11:49:58:293|	Широта: 53.20853286	Долгота:50.25964048
11:49:58:782|	Широта: 53.20853317	Долгота:50.25964078
11:49:59:273|	Широта: 53.20853317	Долгота:50.25964078
11:49:59:761|	Широта: 53.20853273	Долгота:50.25964078
11:50:00:252|	Широта: 53.20853281	Долгота:50.25964038
11:50:00:972|	Широта: 53.20853275	Долгота:50.25964046
11:50:01:233|	Широта: 53.20853317	Долгота:50.25964041
11:50:01:722|	Широта: 53.20853274	Долгота:50.25964041
11:50:02:212|	Широта: 53.20853317	Долгота:50.25964044
11:50:02:701|	Широта: 53.20853317	Долгота:50.25964078
11:50:03:193|	Широта: 53.20853317	Долгота:50.25964078
11:50:03:683|	Широта: 53.20853277	Долгота:50.25964078
11:50:04:175|	Широта: 53.20853317	Долгота:50.25964078
11:50:04:663|	Широта: 53.20853317	Долгота:50.25964078
11:50:05:152|	Широта: 53.20853317	Долгота:50.25964078
11:50:05:643|	Широта: 53.20853282	Долгота:50.25964047
